Date,Open,High,Low,Close,Volume,Adj Close
2014-04-10 00:00,444.66,444.84,360.8407,410.21,100,410.21
2014-04-11 00:00,410.38,429.18,344.24,419.3,100,419.3
2014-04-12 00:00,420.8,438.97,413.81,416.48,100,416.48
2014-04-13 00:00,416.46,426.64,411.86,412.63,100,412.63
2014-04-14 00:00,412.52,471.04,394.34,457.73,100,457.73
2014-04-15 00:00,458.39,514.93,447.81,496.8,100,496.8
2014-04-16 00:00,496.95,543.48,488.68,507.9,100,507.9
2014-04-17 00:00,507.29,535.66,481.57,499.32,100,499.32
2014-04-18 00:00,499.58,503.68,468.33,471.17,100,471.17
2014-04-19 00:00,471.66,502.11,468.02,501.15,100,501.15
2014-04-20 00:00,501.18,511.87,492.68,499.97,100,499.97
2014-04-21 00:00,499.61,510.61,489.36,495.13,100,495.13
2014-04-22 00:00,495.39,499.39,484.429,488.67,100,488.67
2014-04-23 00:00,489.29,493.01,483.0,483.89,100,483.89
2014-04-24 00:00,483.84,489.34,477.66,486.7,100,486.7
2014-04-25 00:00,486.78,500.76,440.31,452.4,100,452.4
2014-04-26 00:00,452.25,463.26,447.66,450.8,100,450.8
2014-04-27 00:00,450.46,463.35,450.46,453.86,100,453.86
2014-04-28 00:00,453.85,453.98,421.33,437.52,100,437.52
2014-04-29 00:00,437.19,449.12,431.29,446.15,100,446.15
2014-04-30 00:00,446.21,448.69,433.07,444.08,100,444.08
2014-05-01 00:00,443.83,455.46,442.24,449.81,100,449.81
2014-05-02 00:00,449.5,459.71,440.12,441.37,100,441.37
2014-05-03 00:00,441.37,447.95,434.14,435.91,100,435.91
2014-05-04 00:00,435.68,439.74,428.52,432.09,100,432.09
2014-05-05 00:00,432.06,438.6,425.52,426.45,100,426.45
2014-05-06 00:00,425.67,432.41,418.11,429.04,100,429.04
2014-05-07 00:00,429.33,438.57,423.34,437.74,100,437.74
2014-05-08 00:00,437.33,446.66,435.343,441.58,100,441.58
2014-05-09 00:00,441.88,448.2,434.61,448.2,100,448.2
2014-05-10 00:00,448.24,451.71,445.56,448.15,100,448.15
2014-05-11 00:00,447.94,453.66,437.98,438.9,100,438.9
2014-05-12 00:00,438.73,440.32,430.53,437.99,100,437.99
2014-05-13 00:00,437.93,440.22,433.19,435.66,100,435.66
2014-05-14 00:00,435.58,442.49,435.17,440.61,100,440.61
2014-05-15 00:00,440.63,447.78,440.1,446.25,100,446.25
2014-05-16 00:00,446.25,447.1,442.05,446.36,100,446.36
2014-05-17 00:00,446.33,447.3,443.78,446.46,100,446.46
2014-05-18 00:00,446.6,446.64,444.59,445.33,100,445.33
2014-05-19 00:00,445.3,446.39,442.22,444.1,100,444.1
2014-05-20 00:00,444.1,464.66,443.69,464.3,100,464.3
2014-05-21 00:00,464.37,494.75,464.29,488.4,100,488.4
2014-05-22 00:00,488.33,519.29,487.71,515.22,100,515.22
2014-05-23 00:00,515.63,543.31,512.47,533.13,100,533.13
2014-05-24 00:00,532.9,532.9,511.91,518.35,100,518.35
2014-05-25 00:00,518.16,579.5,515.63,570.16,100,570.16
2014-05-26 00:00,571.12,590.11,562.4,582.19,100,582.19
2014-05-27 00:00,582.62,591.41,549.81,561.84,100,561.84
2014-05-28 00:00,561.0,581.3,560.57,569.57,100,569.57
2014-05-29 00:00,569.22,576.08,556.41,567.85,100,567.85
2014-05-30 00:00,567.51,612.75,561.97,604.76,100,604.76
2014-05-31 00:00,605.85,622.61,601.23,616.55,100,616.55
2014-06-01 00:00,616.64,655.18,616.41,653.41,100,653.41
